numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort,isAttack
1,0,99,9,0,0,62,36,61,1,1,0,0,2,21,FALSE
2,33,66,11,0,24,84,84,83,14,1,33,1,0,84,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,1,51,TRUE
36,26,55,8,0,0,54,45,53,30,17,26,19,3,45,TRUE
3,91,8,2,0,0,93,90,92,4,2,90,1,0,90,TRUE
3,0,97,5,0,0,51,47,50,1,2,0,0,17,11,FALSE
0,0,100,1,0,2,33,65,32,1,0,0,0,1,65,FALSE
0,23,77,39,0,5,51,58,39,38,0,23,0,1,58,TRUE
1,0,99,26,0,1,72,26,71,1,1,0,0,13,17,FALSE
0,0,100,45,0,0,65,65,64,8,0,0,0,0,65,FALSE
6,56,41,14,0,0,59,55,58,20,3,55,3,0,55,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,1,51,TRUE
0,0,100,9,0,0,53,45,52,2,0,0,0,4,27,FALSE
0,0,100,7,0,0,43,55,42,1,0,0,0,5,35,FALSE
0,0,100,2,0,0,50,64,49,1,0,0,0,1,64,FALSE
1,0,99,6,0,0,45,53,37,2,1,0,0,11,22,FALSE
100,0,47,0,0,0,46,52,45,1,46,0,52,1,52,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,1,51,TRUE
14,2,91,18,0,7,66,66,31,21,7,2,7,1,31,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
24,12,76,23,0,2,61,64,31,20,12,12,12,2,64,TRUE
4,45,53,48,0,0,49,49,48,31,2,44,2,1,49,TRUE
2,0,98,5,0,0,58,40,57,2,2,0,0,18,8,FALSE
0,0,100,12,0,0,49,49,48,1,0,0,0,10,49,FALSE
8,24,74,19,0,15,73,73,72,16,6,23,6,0,73,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,0,51,TRUE
6,0,94,7,0,0,52,55,51,1,6,0,0,1,26,FALSE
16,22,70,36,0,8,52,46,51,33,8,21,8,0,41,TRUE
0,0,100,5,0,0,49,49,48,1,0,0,0,0,19,FALSE
100,0,46,0,0,0,45,53,44,1,45,0,53,1,53,TRUE
40,8,72,18,0,12,59,39,58,16,20,8,20,0,30,TRUE
0,0,100,3,0,0,46,63,45,1,0,0,0,1,23,FALSE
100,0,46,0,0,0,45,53,44,1,45,0,53,1,53,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
6,19,81,26,0,7,56,46,55,31,6,19,6,2,43,TRUE
0,0,100,0,0,0,55,65,54,1,0,0,0,1,65,FALSE
0,0,100,28,0,18,56,56,55,21,0,0,0,1,56,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
2,46,53,40,0,4,54,53,53,38,1,45,1,2,38,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,0,51,TRUE
100,0,43,0,0,0,42,56,41,1,42,0,56,1,56,TRUE
3,0,97,9,0,1,56,42,52,2,3,0,0,12,8,FALSE
100,0,57,0,0,0,56,42,55,1,56,0,42,0,42,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,1,51,TRUE
82,0,68,0,0,0,49,49,48,27,49,0,49,4,42,TRUE
100,0,44,0,0,0,43,55,42,1,43,0,55,3,1,TRUE
0,0,100,1,0,0,38,69,37,1,0,0,0,1,69,FALSE
0,37,63,16,0,3,45,53,44,26,0,36,0,9,37,TRUE
0,0,100,1,0,0,37,65,36,1,0,0,0,1,65,FALSE
0,13,87,13,0,21,86,86,85,7,0,13,0,0,86,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,0,51,TRUE
100,0,63,0,0,0,62,36,61,1,62,0,36,1,36,TRUE
12,28,66,23,0,11,47,51,46,13,6,27,6,1,31,TRUE
99,0,51,0,0,0,50,48,48,2,49,0,48,1,48,TRUE
53,0,86,4,0,4,46,52,45,18,38,0,38,4,32,TRUE
6,0,94,11,0,0,53,45,52,1,6,0,0,7,10,FALSE
32,12,78,12,0,4,45,53,44,20,21,12,21,2,45,TRUE
2,35,64,26,0,14,72,72,71,17,1,34,1,0,72,TRUE
68,4,77,4,0,0,52,48,51,20,48,4,48,4,44,TRUE
100,0,47,0,0,0,46,52,45,1,46,0,52,1,52,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,0,51,TRUE
25,15,77,12,0,18,55,49,54,24,16,15,16,0,49,TRUE
100,0,50,0,0,0,49,49,48,1,49,0,49,1,49,TRUE
4,1,97,10,0,0,51,61,50,1,2,1,2,2,61,FALSE
0,0,100,3,0,0,42,56,41,1,0,0,0,6,56,FALSE
0,0,100,47,0,0,59,59,58,11,0,0,0,1,59,FALSE
37,14,74,16,0,0,56,56,41,18,25,14,14,2,22,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,0,51,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
100,0,50,0,0,0,49,49,48,1,49,0,49,0,49,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
27,22,69,13,0,11,65,53,64,19,18,21,14,0,53,TRUE
9,4,90,14,0,19,63,49,62,19,3,4,6,4,39,TRUE
1,1,99,4,0,0,45,53,44,1,1,0,0,1,18,FALSE
100,0,47,0,0,0,46,52,45,1,46,0,52,1,52,TRUE
14,0,94,21,0,16,53,46,52,15,8,0,6,4,37,TRUE
30,1,86,16,0,12,56,51,55,21,17,1,15,0,51,TRUE
1,72,28,9,0,6,78,78,77,20,1,71,1,2,63,TRUE
4,40,58,47,0,1,50,49,49,48,2,40,2,2,48,TRUE
1,0,100,27,0,29,72,72,71,16,1,0,1,0,72,TRUE
2,39,60,44,0,5,50,48,49,26,1,39,1,0,48,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
42,3,89,4,0,2,52,56,41,27,34,2,34,2,36,TRUE
0,0,100,31,0,23,67,64,66,14,0,0,0,6,32,TRUE
7,33,64,26,0,9,58,52,57,23,4,32,4,0,52,TRUE
2,0,98,8,0,0,52,46,51,1,2,0,0,19,9,FALSE
0,0,100,13,0,1,63,35,61,2,0,0,0,15,9,FALSE
0,0,100,6,0,2,49,49,48,1,0,0,0,8,28,FALSE
