srcIP,destIP,srcMAC,destMAC,srcPort,destPort
/172.16.83.127,/224.0.0.251,e8:de:27:12:cd:0b,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
/172.16.82.107,/224.0.0.251,ac:7b:a1:63:b3:57,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
/172.16.83.33,/224.0.0.251,d0:53:49:bd:de:6f,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
/172.16.82.252,/224.0.0.251,d0:7e:35:c4:c9:a8,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
/172.16.81.195,/224.0.0.251,18:3d:a2:ef:d8:5a,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
/172.16.82.102,/224.0.0.251,c8:21:58:84:a0:26,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
/172.16.83.195,/224.0.0.251,28:16:ad:4c:0c:bb,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
/172.16.83.214,/224.0.0.251,88:b1:11:10:98:8e,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
/172.16.82.222,/224.0.0.251,28:56:5a:46:17:c7,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
/172.16.83.84,/172.16.83.255,4c:34:88:b4:1f:d6,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.83.204,/224.0.0.251,70:f3:95:3a:28:13,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
/169.254.187.80,/239.255.255.250,84:ef:18:19:ba:cc,01:00:5e:7f:ff:fa,50131 (unknown),1900 (unknown),129
/172.16.80.64,/224.0.0.251,c0:ee:fb:55:ce:e3,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),89
/172.16.82.201,/224.0.0.251,e0:06:e6:d5:31:85,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
/172.16.81.224,/224.0.0.251,a0:af:bd:a3:fa:1b,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),79
/172.16.82.59,/255.255.255.255,b8:81:98:4f:f8:4e,ff:ff:ff:ff:ff:ff,54281 (unknown),7533 (unknown),62
/172.16.81.118,/255.255.255.255,3c:a0:67:ad:85:37,ff:ff:ff:ff:ff:ff,50084 (unknown),10505 (unknown),125
