numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort
16,0,84,32,0,14,52,46,25,13,15,0,1,1,46
23,4,81,33,0,10,58,40,38,7,16,2,5,2,12
18,1,84,40,0,0,54,44,32,4,15,1,3,2,28
13,2,90,44,0,2,47,51,22,4,9,1,4,2,47
13,1,90,42,0,1,47,51,26,5,10,0,3,1,45
3,2,98,26,0,1,42,56,37,6,2,2,1,1,46
0,0,100,19,0,0,55,63,54,2,0,0,0,1,63
4,0,97,14,0,0,60,61,59,1,3,0,1,2,61
1,1,99,7,0,0,52,55,51,1,0,1,1,1,55
1,0,99,15,0,0,56,62,55,1,0,0,1,0,62
5,0,95,5,0,0,61,62,60,1,5,0,0,0,62
0,0,100,4,0,0,59,63,58,5,0,0,0,1,62
0,0,100,6,0,0,61,65,60,3,0,0,0,2,63
0,0,100,5,0,0,62,65,61,2,0,0,0,2,63
0,0,100,8,0,0,57,65,56,5,0,0,0,1,64
0,0,100,3,0,0,63,64,62,3,0,0,0,0,64
0,0,100,4,0,0,57,60,56,5,0,0,0,1,57
3,2,97,3,0,0,53,54,52,4,2,2,1,0,39
0,0,100,1,0,0,66,66,65,1,0,0,0,0,66
0,0,100,3,0,0,61,61,60,3,0,0,0,1,61
0,0,100,2,0,0,52,54,51,4,0,0,0,1,54
1,0,99,5,0,0,61,63,60,1,0,0,1,1,63
6,0,94,4,0,2,52,54,51,1,6,0,0,2,54
0,1,100,1,0,0,65,66,64,1,0,0,0,1,66
0,0,100,2,0,1,60,60,59,1,0,0,0,0,60
0,1,100,2,0,0,61,63,60,1,0,0,0,1,63
3,1,97,1,0,0,53,50,52,1,3,0,0,0,45
8,0,94,6,0,0,49,49,42,4,6,0,2,1,35
3,0,97,3,0,0,51,53,50,3,3,0,0,0,53
3,0,97,1,0,0,63,64,62,1,2,0,1,0,64
2,2,99,4,0,10,48,50,45,13,1,2,1,1,50
0,1,100,2,0,3,58,59,57,5,0,1,0,1,59
4,0,96,3,0,0,62,62,61,1,4,0,0,0,62
5,1,95,7,0,1,51,53,50,2,5,0,0,22,29
0,0,100,3,0,0,62,64,61,1,0,0,0,0,64
3,0,97,3,0,0,53,54,52,1,3,0,0,0,54
