numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort
0,0,100,18,0,0,78,78,77,5,0,0,0,5,78
8,0,95,58,0,0,67,36,20,18,5,0,3,1,36
2,0,99,49,0,0,42,56,22,8,1,0,1,1,48
8,6,96,39,0,10,49,49,13,17,4,6,4,1,34
0,0,100,41,0,0,50,63,49,4,0,0,0,1,54
2,0,99,40,0,0,64,68,63,3,1,0,1,0,68
0,0,100,33,0,0,73,73,72,2,0,0,0,1,73
4,0,98,41,0,0,39,59,26,4,2,0,2,1,59
0,0,100,6,0,14,49,49,14,34,0,0,0,1,48
6,0,97,30,0,4,47,51,19,17,3,0,3,1,30
2,0,99,43,0,2,47,55,46,5,1,0,1,1,55
0,0,100,37,0,2,47,61,46,5,0,0,0,1,47
2,0,99,40,0,0,43,55,22,4,1,0,1,1,53
0,0,100,36,0,2,55,63,54,4,0,0,0,2,63
0,0,100,33,0,0,38,60,29,4,0,0,0,3,32
0,0,100,19,0,0,65,70,64,2,0,0,0,1,65
0,0,100,19,0,0,53,68,52,2,0,0,0,1,53
0,1,100,44,0,1,50,48,26,5,0,1,0,1,27
0,0,100,30,0,0,47,62,46,3,0,0,0,2,62
0,0,100,9,0,0,77,80,76,2,0,0,0,0,80
0,0,100,27,0,2,49,59,48,6,0,0,0,1,25
0,0,100,25,0,0,51,66,50,3,0,0,0,1,57
0,0,100,23,0,0,57,67,56,5,0,0,0,1,67
0,0,100,16,0,0,64,72,63,3,0,0,0,2,18
0,0,100,18,0,0,69,74,68,3,0,0,0,1,74
0,0,100,22,0,1,51,64,50,7,0,0,0,5,64
0,2,100,34,0,0,40,58,26,6,0,2,0,7,30
0,0,100,14,0,0,73,73,72,1,0,0,0,1,73
0,0,100,8,0,0,78,79,77,1,0,0,0,1,79
1,3,99,25,0,4,54,44,11,30,1,3,0,1,20
1,0,100,44,0,0,61,64,60,3,0,0,0,1,31
0,0,100,23,0,0,61,70,60,3,0,0,0,1,21
0,0,100,9,0,0,78,78,77,1,0,0,0,0,78
2,0,99,27,0,2,43,55,24,12,1,0,1,3,52
0,0,100,43,0,1,44,54,14,7,0,0,0,1,38
0,0,100,9,0,0,74,75,73,2,0,0,0,7,22
0,0,100,9,0,0,78,78,77,1,0,0,0,0,78
20,0,90,17,0,1,44,54,22,14,10,0,10,1,54
2,0,99,39,0,0,37,63,36,7,1,0,1,1,63
0,0,100,51,0,0,70,71,69,3,0,0,0,1,71
0,0,100,37,0,0,46,61,45,9,0,0,0,5,51
0,0,100,41,0,0,49,64,48,6,0,0,0,1,64
2,0,99,50,0,2,55,63,54,5,1,0,1,1,63
6,0,97,45,0,3,44,54,39,5,3,0,3,2,49
2,0,99,40,0,1,42,61,41,7,1,0,1,1,51
0,0,100,36,0,2,35,63,29,5,0,0,0,1,35
0,0,100,11,0,0,72,76,71,2,0,0,0,1,76
0,0,100,10,0,0,77,79,76,2,0,0,0,0,79
0,0,100,43,0,0,46,61,45,6,0,0,0,1,58
0,0,100,52,0,2,55,62,54,4,0,0,0,1,59
0,0,100,45,0,0,56,63,55,4,0,0,0,1,60
0,0,100,47,0,2,49,61,48,5,0,0,0,4,57
1,0,99,55,0,2,46,52,36,9,1,0,0,3,44
1,0,99,38,0,0,70,28,28,20,1,0,0,3,28
2,0,99,34,0,0,46,52,25,15,1,0,1,6,21
0,0,100,43,0,0,47,51,44,5,0,0,0,0,34
0,0,100,57,0,0,53,65,52,5,0,0,0,1,62
0,0,100,40,0,0,55,43,19,11,0,0,0,4,15
0,0,100,33,0,0,43,63,42,9,0,0,0,1,63
0,0,100,44,0,0,62,66,61,2,0,0,0,1,66
0,0,100,35,0,0,54,67,53,2,0,0,0,1,67
2,0,99,50,0,0,83,25,25,16,1,0,1,24,13
10,0,95,44,0,0,44,54,17,12,5,0,5,1,50
0,0,100,51,0,0,38,60,35,6,0,0,0,1,57
0,0,100,51,0,0,49,64,48,6,0,0,0,1,64
0,0,100,47,0,0,36,62,30,7,0,0,0,1,40
0,0,100,23,0,0,39,59,33,3,0,0,0,1,40
0,1,100,27,0,1,60,38,17,13,0,1,0,3,17
1,0,99,8,0,40,56,42,17,37,1,0,0,1,41
2,1,99,18,0,32,54,44,17,33,1,1,1,1,18
4,0,98,49,0,0,41,57,17,7,2,0,2,1,54
2,5,99,33,0,8,49,49,25,11,1,5,1,1,40
10,0,95,46,0,0,51,47,26,10,5,0,5,4,22
0,0,100,24,0,0,55,68,54,4,0,0,0,4,18
0,0,100,10,0,0,79,79,78,1,0,0,0,0,79
0,0,100,16,0,0,41,70,40,3,0,0,0,0,28
0,0,100,73,0,0,84,45,45,6,0,0,0,3,45
0,0,100,46,0,0,47,51,24,7,0,0,0,10,25
0,0,100,10,0,0,79,81,78,3,0,0,0,0,81
0,0,100,35,0,0,43,55,39,5,0,0,0,1,53
0,0,100,63,0,0,48,50,44,4,0,0,0,13,47
0,0,100,73,0,0,61,55,54,3,0,0,0,2,55
0,0,100,45,0,0,57,65,56,4,0,0,0,1,65
0,0,100,36,0,0,44,66,43,4,0,0,0,3,45
0,0,100,10,0,0,76,78,75,2,0,0,0,1,78
0,0,100,10,0,5,70,71,69,8,0,0,0,4,71
7,1,96,41,0,6,51,47,21,14,4,1,3,8,19
12,0,94,47,0,0,42,56,35,9,6,0,6,2,19
12,0,94,37,0,0,42,56,31,13,6,0,6,2,49
3,0,97,34,0,2,45,53,23,15,3,0,3,2,28
2,1,98,47,0,3,75,23,17,20,2,1,0,1,15
0,0,100,43,0,2,46,67,45,4,0,0,0,1,67
0,2,100,23,0,4,44,54,29,11,0,2,0,2,54
0,1,100,35,0,0,52,58,51,6,0,0,0,3,28
0,0,100,39,0,0,59,66,58,3,0,0,0,1,62
0,0,100,48,0,1,52,61,51,6,0,0,0,2,59
0,0,100,42,0,0,38,60,24,6,0,0,0,4,44
0,0,100,11,0,0,75,77,74,2,0,0,0,0,77
0,0,100,10,0,0,73,73,72,2,0,0,0,0,73
3,1,98,36,0,17,66,32,16,14,2,1,1,10,21
0,0,100,26,0,1,50,66,49,5,0,0,0,1,66
3,0,98,12,0,0,60,69,59,3,1,0,1,7,62
0,0,100,26,0,3,52,65,51,5,0,0,0,1,65
4,0,98,21,0,3,49,60,48,9,2,0,2,4,60
